N,EHC
1,0.050018311
2,0.027130127
3,0.019317627
4,0.015350342
5,0.012908936
6,0.011322021
7,0.010101318
8,0.009246826
9,0.008514404
10,0.007965088
11,0.007476807
12,0.007049561
13,0.006744385
14,0.006439209
15,0.006134033
16,0.005950928
17,0.005706787
18,0.005523682
19,0.005340576
20,0.005218506
21,0.005096436
22,0.004974365
23,0.004852295
24,0.004730225
25,0.004608154
26,0.004547119
27,0.004425049
28,0.004364014
29,0.004302979
30,0.004180908
31,0.004119873
32,0.004058838
33,0.003997803
34,0.003936768
35,0.003875732
36,0.003814697
37,0.003814697
38,0.003753662
39,0.003692627
40,0.003631592
41,0.003631592
42,0.003570557
43,0.003509521
44,0.003509521
45,0.003448486
46,0.003387451
47,0.003387451
48,0.003326416
49,0.003326416
50,0.003265381
51,0.003265381
52,0.003204346
53,0.003204346
54,0.003204346
55,0.003143311
56,0.003143311
57,0.003082275
58,0.003082275
59,0.003082275
60,0.00302124
61,0.00302124
62,0.002960205
63,0.002960205
64,0.002960205
65,0.002960205
66,0.00289917
67,0.00289917
68,0.00289917
69,0.002838135
70,0.002838135
71,0.002838135
72,0.0027771
73,0.0027771
74,0.0027771
75,0.0027771
76,0.002716064
77,0.002716064
78,0.002716064
79,0.002716064
80,0.002716064
81,0.002655029
82,0.002655029
83,0.002655029
84,0.002655029
85,0.002593994
86,0.002593994
87,0.002593994
88,0.002593994
89,0.002593994
90,0.002593994
91,0.002532959
92,0.002532959
93,0.002532959
94,0.002532959
95,0.002532959
96,0.002471924
97,0.002471924
98,0.002471924
99,0.002471924
100,0.002471924
101,0.002471924
102,0.002471924
103,0.002410889
104,0.002410889
105,0.002410889
106,0.002410889
107,0.002410889
108,0.002410889
109,0.002410889
110,0.002349854
111,0.002349854
112,0.002349854
113,0.002349854
114,0.002349854
115,0.002349854
116,0.002349854
117,0.002288818
118,0.002288818
119,0.002288818
120,0.002288818
121,0.002288818
122,0.002288818
123,0.002288818
124,0.002288818
125,0.002288818
126,0.002227783
127,0.002227783
128,0.002227783
129,0.002227783
130,0.002227783
131,0.002227783
132,0.002227783
133,0.002227783
134,0.002227783
135,0.002227783
136,0.002166748
137,0.002166748
138,0.002166748
139,0.002166748
140,0.002166748
141,0.002166748
142,0.002166748
143,0.002166748
144,0.002166748
145,0.002166748
146,0.002166748
147,0.002105713
148,0.002105713
149,0.002105713
150,0.002105713
151,0.002105713
152,0.002105713
153,0.002105713
154,0.002105713
155,0.002105713
156,0.002105713
157,0.002105713
158,0.002105713
159,0.002105713
160,0.002044678
161,0.002044678
162,0.002044678
163,0.002044678
164,0.002044678
165,0.002044678
166,0.002044678
167,0.002044678
168,0.002044678
169,0.002044678
170,0.002044678
171,0.002044678
172,0.002044678
173,0.002044678
174,0.001983643
175,0.001983643
176,0.001983643
177,0.001983643
178,0.001983643
179,0.001983643
180,0.001983643
181,0.001983643
182,0.001983643
183,0.001983643
184,0.001983643
185,0.001983643
186,0.001983643
187,0.001983643
188,0.001983643
189,0.001983643
190,0.001983643
191,0.001922607
192,0.001922607
193,0.001922607
194,0.001922607
195,0.001922607
196,0.001922607
197,0.001922607
198,0.001922607
199,0.001922607
200,0.001922607
201,0.001922607
202,0.001922607
203,0.001922607
204,0.001922607
205,0.001922607
206,0.001922607
207,0.001922607
208,0.001922607
209,0.001922607
210,0.001861572
211,0.001861572
212,0.001861572
213,0.001861572
214,0.001861572
215,0.001861572
216,0.001861572
217,0.001861572
218,0.001861572
219,0.001861572
220,0.001861572
221,0.001861572
222,0.001861572
223,0.001861572
224,0.001861572
225,0.001861572
226,0.001861572
227,0.001861572
228,0.001861572
229,0.001861572
230,0.001861572
231,0.001861572
232,0.001800537
233,0.001800537
234,0.001800537
235,0.001800537
236,0.001800537
237,0.001800537
238,0.001800537
239,0.001800537
240,0.001800537
241,0.001800537
242,0.001800537
243,0.001800537
244,0.001800537
245,0.001800537
246,0.001800537
247,0.001800537
248,0.001800537
249,0.001800537
250,0.001800537
251,0.001800537
252,0.001800537
253,0.001800537
254,0.001800537
255,0.001800537
256,0.001800537
257,0.001800537
258,0.001739502
259,0.001739502
260,0.001739502
261,0.001739502
262,0.001739502
263,0.001739502
264,0.001739502
265,0.001739502
266,0.001739502
267,0.001739502
268,0.001739502
269,0.001739502
270,0.001739502
271,0.001739502
272,0.001739502
273,0.001739502
274,0.001739502
275,0.001739502
276,0.001739502
277,0.001739502
278,0.001739502
279,0.001739502
280,0.001739502
281,0.001739502
282,0.001739502
283,0.001739502
284,0.001739502
285,0.001739502
286,0.001739502
287,0.001739502
288,0.001739502
289,0.001678467
290,0.001678467
291,0.001678467
292,0.001678467
293,0.001678467
294,0.001678467
295,0.001678467
296,0.001678467
297,0.001678467
298,0.001678467
299,0.001678467
300,0.001678467
301,0.001678467
302,0.001678467
303,0.001678467
304,0.001678467
305,0.001678467
306,0.001678467
307,0.001678467
308,0.001678467
309,0.001678467
310,0.001678467
311,0.001678467
312,0.001678467
313,0.001678467
314,0.001678467
315,0.001678467
316,0.001678467
317,0.001678467
318,0.001678467
319,0.001678467
320,0.001678467
321,0.001678467
322,0.001678467
323,0.001678467
324,0.001678467
325,0.001617432
326,0.001617432
327,0.001617432
328,0.001617432
329,0.001617432
330,0.001617432
331,0.001617432
332,0.001617432
333,0.001617432
334,0.001617432
335,0.001617432
336,0.001617432
337,0.001617432
338,0.001617432
