"pi" "FHC" "HC"
1 1 1
0.99 1 1
0.98 1 1
0.97 1 1
0.96 1 1
0.95 1 1
0.94 1 1
0.93 1 1
0.92 1 1
0.91 1 1
0.9 1 1
0.89 1 1
0.88 1 1
0.87 1 1
0.86 1 1
0.85 1 1
0.84 1 1
0.83 1 1
0.82 1 1
0.81 1 1
0.8 1 1
0.79 1 1
0.78 1 1
0.77 1 1
0.76 1 1
0.75 1 1
0.74 1 1
0.73 1 1
0.72 1 1
0.71 1 1
0.7 1 1
0.69 1 1
0.68 1 1
0.67 1 1
0.66 1 1
0.65 1 1
0.64 1 1
0.63 1 1
0.62 1 1
0.61 1 1
0.6 1 1
0.59 1 1
0.58 1 1
0.57 1 1
0.56 1 1
0.55 1 1
0.54 1 1
0.53 1 1
0.52 1 1
0.51 1 1
0.5 1 1
0.49 1 1
0.48 1 1
0.47 1 1
0.46 1 1
0.45 1 1
0.44 1 1
0.43 1 1
0.42 1 1
0.41 1 0.999999999
0.4 1 0.999999998
0.39 1 0.999999995
0.38 1 0.999999986
0.37 1 0.999999963
0.36 1 0.999999904
0.35 1 0.999999759
0.34 0.999999999 0.999999413
0.33 0.999999996 0.999998607
0.32 0.999999989 0.999996782
0.31 0.999999968 0.999992763
0.3 0.999999909 0.999984167
0.29 0.999999748 0.999966302
0.28 0.999999321 0.999930244
0.27 0.999998229 0.999859588
0.26 0.999995512 0.999725223
0.25 0.999988966 0.999477331
0.24 0.999973685 0.999033806
0.23 0.999939159 0.998264511
0.22 0.999863698 0.996971416
0.21 0.999704265 0.994865808
0.2 0.999378898 0.991545422
0.19 0.998738065 0.986476315
0.18 0.997521035 0.978986144
0.17 0.995294545 0.968276326
0.16 0.991374921 0.953459617
0.15 0.98474248 0.933626111
0.14 0.973968788 0.907934581
0.13 0.957191393 0.875718454
0.12 0.932181995 0.836588502
0.11 0.896554428 0.790510392
0.1 0.848138841 0.737836805
0.09 0.785502341 0.679281882
0.08 0.708528661 0.615838797
0.07 0.618900453 0.54865557
0.06 0.520291406 0.478895053
0.05 0.418107204 0.407608403
0.04 0.318729772 0.335645977
0.03 0.228394182 0.263617557
0.02 0.151994494 0.191899747
0.01 0.09218812 0.120677189
0 0.049091212 0.049999317
